issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
42,f88332b066bf0804a6de11284f02d9b499c4a321,0.0031076832674443,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Fix condition on when to publish warning message ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 22:51:03+02:00
42,ab380d5413c3063d56be5b8d8bf04e1bf0fe59a7,1.0357365681556985e-05,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Add simple algorithm to determine affected user ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 22:50:37+02:00
42,41fc47dad576e33fc68afbde7e9c6bf2a85951ba,0.0997149273753166,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Fix topic for requirements warning messages ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 22:00:22+02:00
42,f61d3791fb1b8180cedc7bad77d4c71fddac1356,1.106584295484936e-05,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Add energy requirement calculation ( # 42 ),"['ic_component/ICComponent.py', 'local_image_build.sh']",2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 21:39:59+02:00
42,7f34fdd9997e54512fd39032b3731c2ee0a645cc,1.0460083103680518e-05,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Split the power calculation function to smaller parts ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 18:23:09+02:00
42,36cd8859a4d8515012f4d7a4fa5a508e48f91822,0.0132212787866592,1,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Add requirements warning message class ( # 42 ),['messages/requirements_warning_message.py'],2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-22 18:08:32+02:00
41,48382ce054237ad30bd5f70c069e044b215b4e6d,1.0516266229387838e-05,1,,Add support for arrival time and leaving time,Merge pull request # 41 from EVCommunities/development,"['component_manifest_ic.yml', 'component_manifest_user.yml', 'ic_component/ICComponent.py', 'ic_component/power_info.py', 'ic_component/station_data.py', 'ic_component/user_data.py', 'messages/PowerOutput_message.py', 'messages/PowerRequirement_message.py', 'messages/StationState_message.py', 'messages/car_metadata_message.py', 'messages/car_state_message.py', 'messages/user_state_message.py', 'station_component/StationComponent.py', 'user_component/user_component.py']",2023-01-31 12:55:29+00:00,2023-02-01 10:18:21+00:00,2023-02-01 12:18:20+02:00
40,8433f12d110fdcf72265f83a46c384c247925a26,1.0378465958638117e-05,1,,Fix files for merge with main,Merge pull request # 40 from amehraj/user-component,"['component_manifest_ic.yml', 'component_manifest_station.yml', 'component_manifest_user.yml', 'ic_component.Dockerfile', 'station_component.Dockerfile', 'station_component_manifest.yml', 'stationcomponent.Dockerfile', 'user_component.Dockerfile']",2023-01-31 12:54:25+00:00,2023-01-31 12:54:34+00:00,2023-01-31 14:54:34+02:00
38,d7fcec71d8eccc6d24038568ed24aea681448e62,7.354650733759627e-05,1,,Fix bug of power requirement priority sorting,Merge pull request # 38 from amehraj/user-component,['ic_component/ICComponent.py'],2023-01-26 12:34:23+00:00,2023-01-26 12:34:36+00:00,2023-01-26 14:34:35+02:00
37,6709abc3b17efa2f7c66ac2260ae44bfad53a471,1.0626527000567876e-05,1,,Fix bug in user state,Merge pull request # 37 from amehraj/user-component,"['ic_component/ICComponent.py', 'messages/PowerOutput_message.py', 'messages/PowerRequirement_message.py', 'station_component/StationComponent.py', 'user_component/user_component.py']",2023-01-25 15:15:54+00:00,2023-01-25 15:15:59+00:00,2023-01-25 17:15:59+02:00
