issue_id,commit_id,p_x,l_x,issue_desc,issue_comments,summary,files,created_at,closed_at,commit_time
43,f88332b066bf0804a6de11284f02d9b499c4a321,0.9996200799942015,0,"Solves issue # 42 Publishing warning message by Intelligent controller is implemented . Also , the user component is subscribed to the warning message topic . At the moment only reaction by the user when receiving a warning is a log output . The code changes are not properly tested and might contain bugs .",Warning message if requirements can not be fulfilled,Fix condition on when to publish warning message ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 21:00:11+00:00,2023-02-24 05:13:33+00:00,2023-02-22 22:51:03+02:00
43,593de6f16ca25ff6bb3edf91449c23948ad3ca2a,0.9999393224716188,0,"Solves issue # 42 Publishing warning message by Intelligent controller is implemented . Also , the user component is subscribed to the warning message topic . At the moment only reaction by the user when receiving a warning is a log output . The code changes are not properly tested and might contain bugs .",Warning message if requirements can not be fulfilled,User component now listens to warning messages ( # 42 ),['user_component/user_component.py'],2023-02-22 21:00:11+00:00,2023-02-24 05:13:33+00:00,2023-02-22 22:25:16+02:00
43,41fc47dad576e33fc68afbde7e9c6bf2a85951ba,0.9986226558685304,0,"Solves issue # 42 Publishing warning message by Intelligent controller is implemented . Also , the user component is subscribed to the warning message topic . At the moment only reaction by the user when receiving a warning is a log output . The code changes are not properly tested and might contain bugs .",Warning message if requirements can not be fulfilled,Fix topic for requirements warning messages ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 21:00:11+00:00,2023-02-24 05:13:33+00:00,2023-02-22 22:00:22+02:00
43,b1f039356035842941a1b85be782d4697c5f113a,0.999822199344635,0,"Solves issue # 42 Publishing warning message by Intelligent controller is implemented . Also , the user component is subscribed to the warning message topic . At the moment only reaction by the user when receiving a warning is a log output . The code changes are not properly tested and might contain bugs .",Warning message if requirements can not be fulfilled,Add functionality for sending warning messages ( # 42 ),"['ic_component/ICComponent.py', 'ic_component/energy_check.py', 'ic_component/user_data.py']",2023-02-22 21:00:11+00:00,2023-02-24 05:13:33+00:00,2023-02-22 18:40:31+02:00
43,f32853eace9147f0f1b603571dec832a1b81d796,0.9999306201934814,0,"Solves issue # 42 Publishing warning message by Intelligent controller is implemented . Also , the user component is subscribed to the warning message topic . At the moment only reaction by the user when receiving a warning is a log output . The code changes are not properly tested and might contain bugs .",Warning message if requirements can not be fulfilled,Add function for sending warning message ( # 42 ),['ic_component/ICComponent.py'],2023-02-22 21:00:11+00:00,2023-02-24 05:13:33+00:00,2023-02-22 18:27:52+02:00
43,36cd8859a4d8515012f4d7a4fa5a508e48f91822,0.9992339611053468,0,"Solves issue # 42 Publishing warning message by Intelligent controller is implemented . Also , the user component is subscribed to the warning message topic . At the moment only reaction by the user when receiving a warning is a log output . The code changes are not properly tested and might contain bugs .",Warning message if requirements can not be fulfilled,Add requirements warning message class ( # 42 ),['messages/requirements_warning_message.py'],2023-02-22 21:00:11+00:00,2023-02-24 05:13:33+00:00,2023-02-22 18:08:32+02:00
42,911cf5797ef3e10d5351cc50034345c346483fc0,0.9995070695877076,0,The intelligent controller should send a warning message to a topic that all users are listening if the controller can determine that it can not fulfill all the requirements by the users . - [ x ] Design the contents of the warning message - [ x ] Implement the warning message - [ x ] Implement the calculation for the warning message condition ( intelligent controller ) - [ x ] Implement warning message publishing - [ x ] Implement the receiving of the warning messages ( user component ) Definition of Done : - Intelligent controller publishes a warning message if requirements can not be fulfilled - Users can receive the possible warning message,Warning message if requirements can not be fulfilled,Merge pull request # 43 from EVCommunities/42-warning-message-if-requirements- can not -be-fulfilled,"['ic_component/ICComponent.py', 'ic_component/energy_check.py', 'ic_component/user_data.py', 'local_image_build.sh', 'messages/requirements_warning_message.py', 'user_component/user_component.py']",2023-02-22 14:24:36+00:00,2023-02-24 05:13:35+00:00,2023-02-24 07:13:33+02:00
36,41fc47dad576e33fc68afbde7e9c6bf2a85951ba,0.9870644807815552,0,,Fix unnecessary power requirement message generation,Fix topic for requirements warning messages ( # 42 ),['ic_component/ICComponent.py'],2023-01-25 14:17:52+00:00,2023-01-25 14:17:57+00:00,2023-02-22 22:00:22+02:00
36,7f34fdd9997e54512fd39032b3731c2ee0a645cc,0.999716341495514,0,,Fix unnecessary power requirement message generation,Split the power calculation function to smaller parts ( # 42 ),['ic_component/ICComponent.py'],2023-01-25 14:17:52+00:00,2023-01-25 14:17:57+00:00,2023-02-22 18:23:09+02:00
36,8ea541d12845b2b604eaa60fe7900a53e8963038,0.9745662212371826,0,,Fix unnecessary power requirement message generation,Merge pull request # 32 from EVCommunities/development,['ic_component/ICComponent.py'],2023-01-25 14:17:52+00:00,2023-01-25 14:17:57+00:00,2023-01-19 14:25:30+02:00
